TxnID,Ccy,Amount,CpID,Maturity
2001,usd,143693.7,105,13/02/2027
2002,usd,61480.22,101,10-25-2026
2003,JPY,-55726.64,102,2027-01-24
2004,gbp,-144974.01,105,08/03/2027
2005,USD,4857.75,102,09/03/2027
2006,USD,-176857.06,104,2027-03-28
2007,EUR,-109302.25,104,13/09/2026
2008,gbp,,105,03-13-2027
2009,usd,-85120.94,102,12-14-2026
2010,JPY,-1290.74,101,04/10/2026
2011,USD,62483.56,104,2026-12-09
2012,JPY,158149.6,105,2027-01-05
2013,usd,-52555.59,103,03-21-2027
2014,usd,76304.44,102,29/10/2026
2015,gbp,-132784.25,103,09-18-2026
2016,GBP,-59708.09,106,2026-11-18
2017,JPY,-55180.49,101,09-22-2026
2018,JPY,17692.78,105,02/02/2027
2019,EUR,-144029.71,103,2027-03-18
2020,JPY,-30157.12,102,03-18-2027
2021,,-86273.47,105,19/12/2026
2022,EUR,124977.34,101,02-05-2027
2023,usd,5112.42,102,2027-01-01
2024,gbp,-171086.82,103,2026-10-03
2025,USD,-97361.16,102,30/10/2026
2026,usd,116965.15,105,08/02/2027
2027,EUR,-90601.75,103,12-04-2026
2028,USD,105174.72,104,08/09/2026
2029,EUR,4028.76,106,01-22-2027
2030,GBP,-97294.8,102,08/11/2026
2031,JPY,144820.46,102,02-19-2027
2032,usd,-2046.48,102,04-07-2027
2033,gbp,14551.45,105,23/10/2026
2034,JPY,-100312.3,104,09-22-2026
2035,EUR,116326.4,102,07/03/2027
2036,usd,-171475.5,105,12/03/2027
2037,USD,-176209.74,101,2026-10-10
2038,usd,-122620.07,104,12-29-2026
2039,USD,48478.9,104,08/01/2027
2040,EUR,-167753.8,104,01-26-2027
2041,gbp,-13190.94,103,01-19-2027
2042,JPY,-39724.03,101,2026-11-13
2043,usd,76622.81,106,09-09-2026
2044,JPY,-2071.43,105,2027-03-22
2045,GBP,-27754.99,101,01-15-2027
2011,USD,62483.56,104,2026-12-09
