TransID,Currency,Amount,CounterpartyID,MaturityDate,Notes
1001,JPY,36965.83,1,09-02-2026,
1002,usd,-181419.83,1,2026-11-29,
1003,GBP,43017.94,1,06/12/2026,
1004,usd,-131790.35,1,09-23-2026,
1005,usd,-173979.36,4,11-16-2026,
1006,EUR,,3,2026-10-06,
1007,GBP,186252.81,3,09-11-2026,
1008,GBP,123358.94,1,12/01/2027,
1009,GBP,-78154.49,3,29/12/2026,
1010,usd,-160931.15,3,31/12/2026,
1011,JPY,73693.21,1,25/11/2026,
1012,GBP,-23939.0,3,18/02/2027,
1013,,-151184.71,5,2026-09-20,
1014,usd,-1929.24,2,2026-10-29,
1015,EUR,-186244.59,2,10-20-2026,
1016,JPY,163728.16,1,2026-11-19,
1017,eur,-96488.01,4,02-14-2027,
1018,eur,65008.91,1,09-28-2026,
1019,EUR,-75315.57,4,2026-11-18,
1020,JPY,8027.21,2,11/01/2027,
1021,usd,18684.11,1,11-02-2026,
1022,USD,-126058.22,5,2026-09-29,
1023,JPY,187833.85,3,15/11/2026,
1024,EUR,110053.13,4,08/03/2027,
1025,eur,175799.58,3,01-12-2027,
1026,usd,157930.94,3,2026-10-25,
1027,JPY,39159.99,1,03-13-2027,
1028,USD,168749.69,3,26/12/2026,
1029,USD,-164603.0,5,11-16-2026,
1030,GBP,-121606.86,3,2026-10-21,
1031,GBP,-181909.08,1,31/12/2026,
1032,EUR,-69867.87,5,24/09/2026,
1033,JPY,-44529.08,2,03-11-2027,
1034,JPY,-91460.39,3,01-07-2027,
1035,eur,131495.0,1,2026-11-08,
1036,eur,-57298.67,2,2027-01-18,
1037,eur,-87626.2,2,30/12/2026,
1038,GBP,17078.43,4,11-14-2026,
1039,JPY,-143630.31,5,2026-09-13,
1040,JPY,120878.79,3,09-25-2026,
1004,usd,-131790.35,1,09-23-2026,
